domain,category,confidence
ab.si,2char,recursive-consensus
ad.si,2char,recursive-consensus
ao.si,2char,recursive-consensus
bc.si,2char,recursive-consensus
bd.si,2char,recursive-consensus
bi.si,2char,authoritative
bk.si,2char,recursive-consensus
bo.si,2char,recursive-consensus
br.si,2char,recursive-consensus
bv.si,2char,recursive-consensus
cd.si,2char,recursive-consensus
ci.si,2char,recursive-consensus
cs.si,2char,recursive-consensus
di.si,2char,recursive-consensus
dk.si,2char,recursive-consensus
do.si,2char,authoritative
dt.si,2char,recursive-consensus
ec.si,2char,recursive-consensus
ek.si,2char,recursive-consensus
en.si,2char,authoritative
eo.si,2char,recursive-consensus
es.si,2char,authoritative
ev.si,2char,recursive-consensus
fb.si,2char,recursive-consensus
fe.si,2char,recursive-consensus
fp.si,2char,recursive-consensus
fw.si,2char,recursive-consensus
gw.si,2char,recursive-consensus
hb.si,2char,recursive-consensus
hd.si,2char,recursive-consensus
hf.si,2char,recursive-consensus
hi.si,2char,authoritative
ig.si,2char,recursive-consensus
ii.si,2char,recursive-consensus
ja.si,2char,recursive-consensus
jn.si,2char,recursive-consensus
jr.si,2char,recursive-consensus
jz.si,2char,recursive-consensus
kg.si,2char,recursive-consensus
kj.si,2char,recursive-consensus
kl.si,2char,recursive-consensus
km.si,2char,recursive-consensus
kt.si,2char,recursive-consensus
kz.si,2char,recursive-consensus
lc.si,2char,recursive-consensus
lr.si,2char,recursive-consensus
ms.si,2char,recursive-consensus
na.si,2char,recursive-consensus
ne.si,2char,recursive-consensus
ni.si,2char,recursive-consensus
np.si,2char,recursive-consensus
nq.si,2char,recursive-consensus
ph.si,2char,recursive-consensus
pi.si,2char,authoritative
pk.si,2char,recursive-consensus
po.si,2char,recursive-consensus
pz.si,2char,recursive-consensus
ra.si,2char,recursive-consensus
rc.si,2char,recursive-consensus
rf.si,2char,recursive-consensus
rk.si,2char,recursive-consensus
rp.si,2char,recursive-consensus
rs.si,2char,recursive-consensus
rt.si,2char,recursive-consensus
si.si,2char,authoritative
sl.si,2char,authoritative
sn.si,2char,recursive-consensus
sr.si,2char,recursive-consensus
tu.si,2char,recursive-consensus
uj.si,2char,recursive-consensus
ve.si,2char,recursive-consensus
vh.si,2char,recursive-consensus
wm.si,2char,recursive-consensus
wz.si,2char,authoritative
xl.si,2char,recursive-consensus
xz.si,2char,recursive-consensus
zg.si,2char,authoritative
zk.si,2char,recursive-consensus
zl.si,2char,recursive-consensus
ablation.si,ai_deep,recursive-consensus
activations.si,ai_deep,recursive-consensus
chainofthought.si,ai_deep,recursive-consensus
circuits.si,ai_deep,authoritative
constitutionalai.si,ai_deep,recursive-consensus
explainable.si,ai_deep,recursive-consensus
factuality.si,ai_deep,recursive-consensus
functioncalling.si,ai_deep,recursive-consensus
grpo.si,ai_deep,recursive-consensus
longcontext.si,ai_deep,recursive-consensus
misalignment.si,ai_deep,recursive-consensus
mixtureofexperts.si,ai_deep,recursive-consensus
policygradient.si,ai_deep,recursive-consensus
posttraining.si,ai_deep,recursive-consensus
refusal.si,ai_deep,recursive-consensus
rewardmodel.si,ai_deep,recursive-consensus
rollouts.si,ai_deep,recursive-consensus
scalableoversight.si,ai_deep,recursive-consensus
toolcalling.si,ai_deep,recursive-consensus
uncertainty.si,ai_deep,recursive-consensus
watermarking.si,ai_deep,recursive-consensus
alignedai.si,ai_generic,recursive-consensus
distill.si,ai_generic,authoritative
gradients.si,ai_generic,recursive-consensus
inferencing.si,ai_generic,recursive-consensus
interpretability.si,ai_generic,authoritative
retrieve.si,ai_generic,recursive-consensus
apperception.si,brand2,recursive-consensus
episteme2.si,brand2,recursive-consensus
ingenuity.si,brand2,recursive-consensus
intellects.si,brand2,recursive-consensus
noeticlabs.si,brand2,recursive-consensus
psyches.si,brand2,recursive-consensus
ratiocination.si,brand2,recursive-consensus
sophia2.si,brand2,recursive-consensus
axioms.si,brand_abstract,recursive-consensus
lucid.si,brand_abstract,authoritative
vertexai.si,brand_abstract,recursive-consensus
cau.si,hack_si,recursive-consensus
inci.si,hack_si,recursive-consensus
betterintelligence.si,intelligence_phrase,recursive-consensus
emergentintelligence.si,intelligence_phrase,recursive-consensus
honestintelligence.si,intelligence_phrase,recursive-consensus
infiniteintelligence.si,intelligence_phrase,recursive-consensus
superiorcompute.si,intelligence_phrase,recursive-consensus
superiorlabs.si,intelligence_phrase,recursive-consensus
superiormachine.si,intelligence_phrase,recursive-consensus
superiormind.si,intelligence_phrase,recursive-consensus
superiorsystems.si,intelligence_phrase,recursive-consensus
supremecompute.si,intelligence_phrase,recursive-consensus
supremelabs.si,intelligence_phrase,recursive-consensus
suprememind.si,intelligence_phrase,recursive-consensus
ultimateintelligence.si,intelligence_phrase,recursive-consensus
kyra.si,short,recursive-consensus
siacademy.si,si_compound,recursive-consensus
sialign.si,si_compound,recursive-consensus
sialignment.si,si_compound,recursive-consensus
sialliance.si,si_compound,recursive-consensus
siapi.si,si_compound,recursive-consensus
siapp.si,si_compound,recursive-consensus
siapps.si,si_compound,recursive-consensus
sibench.si,si_compound,recursive-consensus
siblog.si,si_compound,recursive-consensus
sibrain.si,si_compound,recursive-consensus
sibuild.si,si_compound,recursive-consensus
sicapital.si,si_compound,recursive-consensus
sicareers.si,si_compound,recursive-consensus
sichip.si,si_compound,recursive-consensus
sicloudai.si,si_compound,recursive-consensus
sicompany.si,si_compound,recursive-consensus
sicompute.si,si_compound,recursive-consensus
sicortex.si,si_compound,recursive-consensus
sicouncil.si,si_compound,recursive-consensus
sidata.si,si_compound,recursive-consensus
sidefense.si,si_compound,recursive-consensus
siengine.si,si_compound,recursive-consensus
siengineai.si,si_compound,recursive-consensus
siethics.si,si_compound,recursive-consensus
sievals.si,si_compound,recursive-consensus
sifactory.si,si_compound,recursive-consensus
siforge.si,si_compound,recursive-consensus
siforum.si,si_compound,recursive-consensus
sifoundry.si,si_compound,recursive-consensus
sifund.si,si_compound,recursive-consensus
sigateway.si,si_compound,recursive-consensus
siguard.si,si_compound,recursive-consensus
sihire.si,si_compound,recursive-consensus
siindex.si,si_compound,recursive-consensus
sijobs.si,si_compound,recursive-consensus
sijournal.si,si_compound,recursive-consensus
sikernel.si,si_compound,recursive-consensus
silaw.si,si_compound,recursive-consensus
simind2.si,si_compound,recursive-consensus
simodel.si,si_compound,recursive-consensus
simodels.si,si_compound,recursive-consensus
simonitor.si,si_compound,recursive-consensus
sinetwork.si,si_compound,recursive-consensus
sinews.si,si_compound,recursive-consensus
siplatform.si,si_compound,recursive-consensus
sipodcast.si,si_compound,recursive-consensus
sipolicy.si,si_compound,recursive-consensus
sipress.si,si_compound,recursive-consensus
sireport.si,si_compound,recursive-consensus
sireview.si,si_compound,recursive-consensus
sirouter.si,si_compound,recursive-consensus
sisafe.si,si_compound,recursive-consensus
sisafety.si,si_compound,recursive-consensus
sischool.si,si_compound,recursive-consensus
sisecure.si,si_compound,recursive-consensus
sisecurity.si,si_compound,recursive-consensus
sishield.si,si_compound,recursive-consensus
sistartup.si,si_compound,recursive-consensus
sistore.si,si_compound,recursive-consensus
sistudio.si,si_compound,recursive-consensus
sistudios.si,si_compound,recursive-consensus
sisummit.si,si_compound,recursive-consensus
sitalent.si,si_compound,recursive-consensus
sitracker.si,si_compound,recursive-consensus
sitraining.si,si_compound,recursive-consensus
siventures.si,si_compound,recursive-consensus
siwatch.si,si_compound,recursive-consensus
siwiki.si,si_compound,recursive-consensus
sicore.si,si_core,recursive-consensus
sifirst.si,si_core,recursive-consensus
sifoundation.si,si_core,recursive-consensus
siinstitute.si,si_core,recursive-consensus
simind.si,si_core,recursive-consensus
sinative.si,si_core,recursive-consensus
sione.si,si_core,recursive-consensus
siresearch.si,si_core,recursive-consensus
sistack.si,si_core,recursive-consensus
sisystems.si,si_core,recursive-consensus
siworks.si,si_core,recursive-consensus
synthbase.si,synth_compound,authoritative
synthbrain.si,synth_compound,recursive-consensus
synthcortex.si,synth_compound,recursive-consensus
synthengine.si,synth_compound,recursive-consensus
synthesizer.si,synth_compound,recursive-consensus
syntheticai.si,synth_compound,authoritative
synthetically.si,synth_compound,recursive-consensus
syntheticlabs.si,synth_compound,recursive-consensus
syntheticminds.si,synth_compound,recursive-consensus
synthfield.si,synth_compound,authoritative
synthflow.si,synth_compound,recursive-consensus
synthforge.si,synth_compound,authoritative
synthfoundry.si,synth_compound,recursive-consensus
synthgen.si,synth_compound,authoritative
synthgroup.si,synth_compound,recursive-consensus
synthiq.si,synth_compound,recursive-consensus
synthmachine.si,synth_compound,recursive-consensus
synthspace.si,synth_compound,recursive-consensus
synthstack.si,synth_compound,recursive-consensus
synthsystems.si,synth_compound,recursive-consensus
synthcore.si,synthetic,recursive-consensus
synthesist.si,synthetic,recursive-consensus
synthetica.si,synthetic,authoritative
syntheticmind.si,synthetic,recursive-consensus
synthia.si,synthetic,recursive-consensus
synthica.si,synthetic,recursive-consensus
synthlabs.si,synthetic,recursive-consensus
synthminds.si,synthetic,recursive-consensus
synthos.si,synthetic,recursive-consensus
synthworks.si,synthetic,recursive-consensus
syntience.si,synthetic,authoritative
beyondartificial.si,trump,recursive-consensus
ineloquent.si,trump,recursive-consensus
newintelligence.si,trump,recursive-consensus
notartificial.si,trump,recursive-consensus
realintelligence.si,trump,recursive-consensus
rename.si,trump,recursive-consensus
renaming.si,trump,recursive-consensus
superiorai.si,trump,authoritative
supremeai.si,trump,authoritative
therevolution.si,trump,recursive-consensus
trueintelligence.si,trump,recursive-consensus
